id,nama,harga,brand,foto,spek,harga_promo
P242,RUIJIE REYEE RG-RAP2200E AC1300 DUAL BAND CEILING MOUNT ACCESS POINT,1185000,RUIJIE,img\produk\RUIJIE REYEE RG-RAP2200E AC1300 DUAL BAND CEILING MOUNT ACCESS POINT.png,Performa Radio-Ganda  hingga 1.267 Gbps.,
P243,RUIJIE REYE RG-RAP2200F AC1300 DUAL BAND CEILING MOUNT ACCESS POINT,918000,RUIJIE,img\produk\RUIJIE REYEE RG-RAP2200F AC1300 DUAL BAND CEILING MOUNT ACCESS POINT.png,Performa Radio-Ganda  hingga 1.267 Gbps.,
P244,RUIJIE REYEE RG-RAP2260 AX3000 WIFI6 CEILING MOUNT,1815000,RUIJIE,img\produk\RUIJIE REYEE RG-RAP2260 AX3000 WIFI6 CEILING MOUNT.png,Ultra-high performance Wi-Fi with 2.97 Gbps throughput.,
P245,RUIJIE REYEE RG-RAP2266 WIFI6 AX3000 INDOOR CEILING MOUTED,1860000,RUIJIE,img\produk\RUIJIE REYEE RG-RAP2266 WIFI6 AX3000 INDOOR CEILING MOUTED.png,Performa radio-ganda  AP model ceiling wireless gigabit,
P246,RUIJIE REYEE RG-RAP52OD,1336000,RUIJIE,img\produk\RUIJIE REYEE RG-RAP52OD.png,AP Mini Outdoor Wave 2 AC1300 untuk Vila dan Bisnis Ritel,
P247,RUIJIE REYEE FB-RAP6202G AC1300 ACCESS POINT OUTDOOR,2386000,RUIJIE,img\produk\RUIJIE REYEE FB-RAP6202G AC1300 ACCESS POINT OUTDOOR.png,Desain gaya UFO ï¿½ perpaduan sempurna antara teknologi Wi-Fi 6 dan hasil seni,
P248,RUIJIE REYEE RG-RAP72 WIFI7 BE3600 CEILING MOUNT ACCESS POINT,2000000,RUIJIE,img\produk\RUIJIE REYEE RG-RAP72 WIFI7 BE3600 CEILING MOUNT ACCESS POINT.png,AI-powered Wi-Fi 7 ceiling-mount AP with dual-radio performance,
P249,RUIJIEE REYEE RG-RAP720L WIRELESS,1700000,RUIJIE,img\produk\RUIJIEE REYEE RG-RAP720L WIRELESS.png,Dual Radios  Combined Rate Up to 1.167 Gbps,
P250,RUIJIE REYEE CEILING RG-RAP2260E,2852000,RUIJIE,img\produk\RUIJIE REYEE CEILING RG-RAP2260E.jpg,,
P251,"RUIJIE REYEE RG-RAP6262G OUTDOOR AP, AX1800 DUAL BAND",2586000,RUIJIE,"img\produk\RUIJIE REYEE RG-RAP6262G OUTDOOR AP, AX1800 DUAL BAND.jpg",Desain gaya UFO ï¿½ perpaduan sempurna antara teknologi Wi-Fi 6 dan hasil seni,
P252,RUIJIE REYEE RG-EG209GS 9PORT GIGABYTE SMART CLOUD MANAGED ROUTER WITH 1 SFP,1866000,RUIJIE,img\produk\RUIJIE REYEE RG-EG209GS 9PORT GIGABYTE SMART CLOUD MANAGED ROUTER WITH 1 SFP.png,Port SFP LAN/WAN bisa saling tukar untuk menambah koneksi fiber,
P253,RUIJIE REYEE RG-EW1200 AC1200 DUAL BAND WIRELESS ROUTER,468000,RUIJIE,img\produk\RUIJIE REYEE RG-EW1200 AC1200 DUAL BAND WIRELESS ROUTER.png,Mendukung 802.11ac wave2,
P254,RUIJIE REYEE RG-EW1200G PRO AC DUAL BAND GIGABYTE WIRELESS ROUTER,660000,RUIJIE,img\produk\RUIJIE REYEE RG-EW1200G PRO AC DUAL BAND GIGABYTE WIRELESS ROUTER.png,Mendukung hingga 64 koneksi perangkat secara bersamaan,
P255,RUIJIE REYEE RG-EW3000GX GAMING ROUTER WIFI 6,868000,RUIJIE,img\produk\RUIJIE REYEE RG-EW3000GX GAMING ROUTER WIFI 6.png,Reyee mesh eksklusif menyediakan solusi Wi-Fi cakupan menyeluruh,
P256,RUIJIE REYEE RG-EW3000GX PRO GAMING ROUTER WIFI 6,1286000,RUIJIE,img\produk\RUIJIE REYEE RG-EW3000GX PRO GAMING ROUTER WIFI 6.png,Mesin Game memberikan pengalaman bermain game yang tiada tanding,
P257,RUIJIE REYEE RG-EW300N ROUTER WIRELESS N300 WIFI 4,286000,RUIJIE,img\produk\RUIJIE REYEE RG-EW300N ROUTER WIRELESS N300 WIFI 4.png,Mendukung manajemen cloud gratis seumur hidup,
P258,TP LINK ROUTER TL-WR840N 300Mbps,195000,TP LINK,img\produk\WR400N.jpg,Jaringan Tamu menyediakan akses terpisah untuk tamu sekaligus menjaga keamanan jaringan rumah.,
P259,TARMOC HTB-3100 AB,155000,TARMOC,img\produk\HTB3100 TARMOC.jpeg,,
P260,ADAPTOR HTB TARMOC 2A,80000,TARMOC,img\produk\ADAPTOR HTB TARMOC.jpeg,,
P261,TOOLS CLEANING 6 IN 1,55000,TOOLS,img\produk\TOOLS CLEANING.jpeg,,
P262,BOR CATRIDGE MANUAL FOR PRINTER CANON/HP,45000,TOOLS,img\produk\BOR CATRIDGE.jfif,,
P263,OPPO A5i 4/128GB,1699000,OPPO,img\produk\OPPO A5i 4 128.png,Qualcomm Snapdragon 6s 4G Gen 1  baterai besar 5100mAh  dan pengisian daya cepat 45W SUPERVOOCï¿½layar 6.67 inci HD+ 90Hz kamera belakang 8MP RAM 4GB penyimpanan 128GB  serta ketahanan bodi standar militer IP54.ï¿½,
P264,OPPO A5X 4/128GB,1899000,OPPO,img\produk\OPPO A5X.png,Qualcomm Snapdragon 6s 4G Gen 1 RAM 4GB  ROM 128GB   Utama 32 MP  Depan: 5 MP   Baterai: 6000 mAh  Fitur Lain: Side fingerprint  IP65 ,
P265,OPPO A5X 6/128GB,2199000,OPPO,img\produk\OPPO A5X.png,Qualcomm Snapdragon 6s 4G Gen 1 RAM 4GB  ROM 128GB   Utama 32 MP  Depan: 5 MP   Baterai: 6000 mAh  Fitur Lain: Side fingerprint  IP65 ,
P266,OPPO A6X 4/64GB,2099000,OPPO,img\produk\OPPO A6X.png,baterai jumbo 6.500 mAh  layar IPS 6.75 inci 120Hz  dan chipset Qualcomm Snapdragon 685 (6 nm). HP ini dilengkapi RAM 4GB/6GB  penyimpanan hingga 256GB  kamera 13MP  serta sertifikasi IP64.ï¿½,
P267,OPPO A6X 4/128GB,2799000,OPPO,img\produk\OPPO A6X.png,baterai jumbo 6.500 mAh  layar IPS 6.75 inci 120Hz  dan chipset Qualcomm Snapdragon 685 (6 nm). HP ini dilengkapi RAM 4GB/6GB  penyimpanan hingga 256GB  kamera 13MP  serta sertifikasi IP64.ï¿½,
P268,OPPO A6X 6/128GB,3499000,OPPO,img\produk\OPPO A6X.png,baterai jumbo 6.500 mAh  layar IPS 6.75 inci 120Hz  dan chipset Qualcomm Snapdragon 685 (6 nm). HP ini dilengkapi RAM 4GB/6GB  penyimpanan hingga 256GB  kamera 13MP  serta sertifikasi IP64.ï¿½,
P269,OPPO A6X 6/256GB,3899000,OPPO,img\produk\OPPO A6X.png,baterai jumbo 6.500 mAh  layar IPS 6.75 inci 120Hz  dan chipset Qualcomm Snapdragon 685 (6 nm). HP ini dilengkapi RAM 4GB/6GB  penyimpanan hingga 256GB  kamera 13MP  serta sertifikasi IP64.ï¿½,
P270,OPPO A6 6/128GB,4099000,OPPO,img\produk\OPPO A6.png,"chipset Snapdragon 685  layar 6.75"" HD+ 90Hz  RAM 6GB  penyimpanan 128/256GB  kamera utama 50MP  baterai 7000mAh dengan SuperVOOC 45W  dan sertifikasi IP69 tahan air/debu  menjalankan ColorOS 15 berbasis Android 15",
P271,OPPO A6 6/256GB,4399000,OPPO,img\produk\OPPO A6.png,"chipset Snapdragon 685  layar 6.75"" HD+ 90Hz  RAM 6GB  penyimpanan 128/256GB  kamera utama 50MP  baterai 7000mAh dengan SuperVOOC 45W  dan sertifikasi IP69 tahan air/debu  menjalankan ColorOS 15 berbasis Android 15",
P272,OPPO A6 PRO 4G 8/128GB,4099000,OPPO,img\produk\OPPO A6 PRO.png,chipset MediaTek Dimensity 6300 ayar AMOLED 120Hz  RAM 8GB  penyimpanan 256GB  sertifikasi ketahanan air/debu IP69  serta kamera utama 50MP  baterai super besar 7.000 mAh dengan pengisian cepat 80W SUPERVOOC,3999000
P273,OPPO A6 PRO 4G 8/256GB,4499000,OPPO,img\produk\OPPO A6 PRO.png,chipset MediaTek Dimensity 6300 ayar AMOLED 120Hz  RAM 8GB  penyimpanan 256GB  sertifikasi ketahanan air/debu IP69  serta kamera utama 50MP  baterai super besar 7.000 mAh dengan pengisian cepat 80W SUPERVOOC,4399000
P274,OPPO A6 PRO 5G 8/256GB,4799000,OPPO,img\produk\OPPO A6PRO.png,chipset MediaTek Dimensity 6300 ayar AMOLED 120Hz  RAM 8GB  penyimpanan 256GB  sertifikasi ketahanan air/debu IP69  serta kamera utama 50MP  baterai super besar 7.000 mAh dengan pengisian cepat 80W SUPERVOOC,4699000
P275,OPPO RENO 13F 5G 12/256GB,5999000,OPPO,img\produk\OPPO RENO 13F 5G.png,layar AMOLED 6.67 inci 120Hz  chipset Snapdragon 6 Gen 1  RAM 12GB Penyimpanan 256GB dan baterai besar 5800mAh (45W VOOC) kamera belakang 50MP OIS  kamera depan 32MP,5799000
P276,OPPO RENO 15F 8/128GB,5799000,OPPO,img\produk\OPPO RENO15 F.png,baterai ekstra besar 7.000 mAh chipset Snapdragon 6 Gen 1 dengan layar AMOLED 6.67 inci 120Hz pengisian daya 80W SuperVOOC kamera utama 50MP dan kamera depan 50MP.ï¿½,
P277,OPPO RENO 15F 8/256GB,6299000,OPPO,img\produk\OPPO RENO15 F.png,baterai ekstra besar 7.000 mAh chipset Snapdragon 6 Gen 1 dengan layar AMOLED 6.67 inci 120Hz pengisian daya 80W SuperVOOC kamera utama 50MP dan kamera depan 50MP.ï¿½,6199000
P278,OPPO RENO 15F 12/256GB,6799000,OPPO,img\produk\OPPO RENO15 F.png,baterai ekstra besar 7.000 mAh chipset Snapdragon 6 Gen 1 dengan layar AMOLED 6.67 inci 120Hz pengisian daya 80W SuperVOOC kamera utama 50MP dan kamera depan 50MP.ï¿½,6699000
P279,OPPO RENO 15 8/256GB,8099000,OPPO,img\produk\OPPO RENO 15.png,layar AMOLED 6.59 inci 120Hz  chipset Snapdragon 7 Gen 4ï atau Dimensity 8450  kamera utama 50MP/200MP dengan OIS  kamera selfie 50MP  baterai jumbo 6.500 mAh  danï 80W SuperVOOC  menjalankan Android 16,7949000
P280,OPPO RENO 15 12/256GB,8799000,OPPO,img\produk\OPPO RENO 15.png,layar AMOLED 6.59 inci 120Hz  chipset Snapdragon 7 Gen 4ï atau Dimensity 8450  kamera utama 50MP/200MP dengan OIS  kamera selfie 50MP  baterai jumbo 6.500 mAh  danï 80W SuperVOOC  menjalankan Android 16,8650000
P281,OPPO RENO 15 PROMAX 12/512GB,13799000,OPPO,img\produk\OPPO RENO 15 PROMAX.png,MediaTek Dimensity 8450 6500mAh  12GB + 512GB 6 78 inci 120HZ 50MP,13599000
P282,VIVO Y04S 4/64GB,1549000,VIVO,img\produk\VIVO Y04S.png,baterai raksasa 6000mAh  layar 6.74 inci 90Hz  dan sertifikasi tahan air/debu IP64. Ditenagai chipset Unisoc T612/T7225  RAM dan Penyimpanan disesuaikan perangkat ini berjalan pada Funtouch OS 14 berbasis Android 14 dengan kamera utama 13MP,
P283,VIVO Y04S 4/128GB,1799000,VIVO,img\produk\VIVO Y04S.png,baterai raksasa 6000mAh  layar 6.74 inci 90Hz  dan sertifikasi tahan air/debu IP64. Ditenagai chipset Unisoc T612/T7225  RAM dan Penyimpanan disesuaikan perangkat ini berjalan pada Funtouch OS 14 berbasis Android 14 dengan kamera utama 13MP,
P284,VIVO Y19S PRO 4/64GB,1599000,VIVO,img\produk\VIVO Y19S.webp,chipset Unisoc Tiger T612  layar 6.68 inci 90Hz  serta kamera utama 50MP baterai raksasa 6000 mAh,
P285,VIVO Y19S PRO 4/128GB,1799000,VIVO,img\produk\VIVO Y19S.webp,chipset Unisoc Tiger T612  layar 6.68 inci 90Hz  serta kamera utama 50MP baterai raksasa 6000 mAh,
P286,VIVO Y19S PRO 6/128GB,1999000,VIVO,img\produk\VIVO Y19S.webp,chipset Unisoc Tiger T612  layar 6.68 inci 90Hz  serta kamera utama 50MP baterai raksasa 6000 mAh,
P287,VIVO Y21D 4/128GB,2399000,VIVO,img\produk\VIVO Y21D.webp,chipset Unisoc T7225  RAM hingga 8GB  layar 6.68 inci 90Hz  dan kamera 50MP baterai jumbo 6500 mAh,
P288,VIVO Y21D 6/128GB,2799000,VIVO,img\produk\VIVO Y21D.webp,chipset Unisoc T7225  RAM hingga 8GB  layar 6.68 inci 90Hz  dan kamera 50MP baterai jumbo 6500 mAh,
P289,VIVO Y21D 6/256GB,3199000,VIVO,img\produk\VIVO Y21D.webp,chipset Unisoc T7225  RAM hingga 8GB  layar 6.68 inci 90Hz  dan kamera 50MP baterai jumbo 6500 mAh,
P290,VIVO Y21D 8/128GB,2999000,VIVO,img\produk\VIVO Y21D.webp,chipset Unisoc T7225  RAM hingga 8GB  layar 6.68 inci 90Hz  dan kamera 50MP baterai jumbo 6500 mAh,
P291,VIVO Y29 6/128GB,2399000,VIVO,img\produk\VIVO Y29.png,baterai besar 6500mAh  pengisian cepat 44W  dan chipset Snapdragon 685. Layarnya 6.68 inci HD+ 120Hz  kamera utama 50MP  RAM hingga 8GB  dan penyimpanan 256GB,
P292,VIVO Y29 8/128GB,2599000,VIVO,img\produk\VIVO Y29.png,baterai besar 6500mAh  pengisian cepat 44W  dan chipset Snapdragon 685. Layarnya 6.68 inci HD+ 120Hz  kamera utama 50MP  RAM hingga 8GB  dan penyimpanan 256GB,
P293,VIVO Y29 8/256GB,2899000,VIVO,img\produk\VIVO Y29.png,baterai besar 6500mAh  pengisian cepat 44W  dan chipset Snapdragon 685. Layarnya 6.68 inci HD+ 120Hz  kamera utama 50MP  RAM hingga 8GB  dan penyimpanan 256GB,
P294,VIVO V60 LITE 4G 8/256GB,4499000,VIVO,img\produk\VIVO V60 LITE 4G.webp,layar AMOLED 6.77 inci 120Hz  chipset Snapdragon 685  RAM 8GB (bisa diperluas)  penyimpanan 128/256GB  baterai 6500mAh + 90W FlashCharge  kamera utama 50MP,4399000
P295,VIVO V60 LITE 5G 8/256GB,5499000,VIVO,img\produk\VIVO V60 LITE 4G.webp,MediaTek Dimensity 7360-Turbo  layar AMOLED 120Hz  500mAh  90W fast charge  kamera utama 50MP sensor Sony,5399000
P296,VIVO V60 LITE 5G 12/512GB,5999000,VIVO,img\produk\VIVO V60 LITE 4G.webp,MediaTek Dimensity 7360-Turbo  layar AMOLED 120Hz  500mAh  90W fast charge  kamera utama 50MP sensor Sony,5899000
P297,VIVO V60 8/256GB,6999000,VIVO,img\produk\VIVO V60.webp,kamera 50MP ZEISS  baterai 6500 mAh BlueVolt yang tahan lama  serta chipset Snapdragon 7 Gen 4,6899000
P298,VIVO V60 12/256GB,7499000,VIVO,img\produk\VIVO V60.webp,kamera 50MP ZEISS  baterai 6500 mAh BlueVolt yang tahan lama  serta chipset Snapdragon 7 Gen 4,7399000
P299,VIVO V60 12/512GB,8499000,VIVO,img\produk\VIVO V60.webp,kamera 50MP ZEISS  baterai 6500 mAh BlueVolt yang tahan lama  serta chipset Snapdragon 7 Gen 4,8399000
P300,VIVO XFOLD5 16/512GB,24999000,VIVO,img\produk\VIVO XFOLD.webp,chipset Snapdragon 8 Gen 3  baterai 6000mAh  dan kamera Zeiss 50MP,24900000
P301,REDMI A5 4/128GB,1399000,SMARTPHONE XIAOMI,img\produk\REDMI A5.webp,Prosesor UNISOC T7250  4 GB + 128 GB  Layar besar 6.88  Kamera utama 32 MP Baterai 5.200 mAh,
P302,REDMI 15C 6/128GB,1749000,SMARTPHONE XIAOMI,img\produk\REDMI 15C.webp,Prosesor MediaTek Helio G81-Ultra  6 GB + 128 GB  Layar Dot Drop 6.9  Kamera utama 50 MP  6.000 mAh,
P303,REDMI 15C 8/256GB,1949000,SMARTPHONE XIAOMI,img\produk\REDMI 15C.webp,Prosesor MediaTek Helio G81-Ultra  8 GB + 256 GB  Layar Dot Drop 6.9  Kamera utama 50 MP  6.000 mAh,
P304,REDMI 15 8/128GB,2099000,SMARTPHONE XIAOMI,img\produk\REDMI 15.webp,Snapdragon 685  layar 6.9 144Hz  baterai besar 7.000 mAh dengan pengisian daya 33W  serta kamera utama 50M,
P305,REDMI 15 8/256GB,2299000,SMARTPHONE XIAOMI,img\produk\REDMI 15.webp,Snapdragon 685  layar 6.9 144Hz  baterai besar 7.000 mAh dengan pengisian daya 33W  serta kamera utama 50M,
P306,REDMI NOTE 14 8/128GB,2399000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 14.webp,Helio G99-Ultra  8 GB+128 GB 8 GB+256 GB  Layar AMOLED 6.67  Kamera utama 108 MP  Baterai 5.500 mAh,
P307,REDMI NOTE 14 8/256GB,2599000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 14.webp,Helio G99-Ultra  8 GB+128 GB 8 GB+256 GB  Layar AMOLED 6.67  Kamera utama 108 MP  Baterai 5.500 mAh,
P308,REDMI NOTE 14 5G 8/256GB,3199000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 14 5G.webp,Dimensity 7025-Ultra  8GB+256GB 12GB+512GB  Layar AMOLED 6.67  Kamera utama 108 MP  Baterai 5.110 mAh ,
P309,REDMI NOTE 14 5G 12/512GB,3999000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 14 5G.webp,Dimensity 7025-Ultra  8GB+256GB 12GB+512GB  Layar AMOLED 6.67  Kamera utama 108 MP  Baterai 5.110 mAh ,
P310,REDMI NOTE 14 PRO 5G 8/256GB,4399000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 14PRO 5G.webp,MediaTek Dimensity 7300-Ultra  8+256 GB 12+512 GB  Layar CrystalRes AMOLED 6.67  Kamera utama 200 MP  5.110 mAh,4299000
P311,REDMI NOTE 14 PRO 5G 12/512GB,4999000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 14PRO 5G.webp,MediaTek Dimensity 7300-Ultra  8+256 GB 12+512 GB  Layar CrystalRes AMOLED 6.67  Kamera utama 200 MP  5.110 mAh,
P312,REDMI NOTE 14 PRO+ 5G 8/256GB,5499000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE14 PRO+ 5G.webp,Snapdragon 7s Gen 3  8+256 GB  12+512 GB  Layar CrystalRes AMOLED 6.67  Kamera utama 200 MP  5.110 mAh ,
P313,REDMI NOTE 14 PRO+ 5G 12/512GB,5999000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE14 PRO+ 5G.webp,Snapdragon 7s Gen 3  8+256 GB  12+512 GB  Layar CrystalRes AMOLED 6.67  Kamera utama 200 MP  5.110 mAh ,5899000
P314,REDMI NOTE 15 8/128GB,2899000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15.webp,MediaTek Helio G100-Ultra  8GB+128GB  8GB+256GB  Layar AMOLED 6.77  Kamera utama 108MP  Baterai 6000mAh,
P315,REDMI NOTE 15 8/256GB,3099000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15.webp,MediaTek Helio G100-Ultra  8GB+128GB  8GB+256GB  Layar AMOLED 6.77  Kamera utama 108MP  Baterai 6000mAh,
P316,REDMI NOTE 15 5G 8/256GB,3799000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15 5G.webp,Snapdragon 6 Gen 3  8GB + 256GB  12GB + 512GB  Layar AMOLED 6.77   108 MP kamera utama  Baterai 5520 mAh,
P317,REDMI NOTE 15 5G 8/512GB,4599000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15 5G.webp,Snapdragon 6 Gen 3  8GB + 256GB  12GB + 512GB  Layar AMOLED 6.77   108 MP kamera utama  Baterai 5520 mAh,
P318,REDMI NOTE 15 PRO 5G 8/256GB,4699000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15 PRO 5G.webp,MediaTek Dimensity 7400-Ultra  8GB+256GB  12GB+512GB  Layar AMOLED 6.83  Kamera utama 200 MP  Baterai 6580 mAh,
P319,REDMI NOTE 15 PRO 5G 8/512GB,5599000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15 PRO 5G.webp,MediaTek Dimensity 7400-Ultra  8GB+256GB  12GB+512GB  Layar AMOLED 6.83  Kamera utama 200 MP  Baterai 6580 mAh,
P320,REDMI NOTE 15 PRO+ 5G 8/256GB,5999000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15 PRO+ 5G.webp,Snapdragon7s Gen 4  6.83 CrystalRes AMOLED  Kamera utama 200 MP  Baterai 6500 mAh,
P321,REDMI NOTE 15 PRO+ 5G 12/512GB,6799000,SMARTPHONE XIAOMI,img\produk\REDMI NOTE 15 PRO+ 5G.webp,Snapdragon7s Gen 4  6.83 CrystalRes AMOLED  Kamera utama 200 MP  Baterai 6500 mAh,
P322,XIAOMI 15T 12/512GB,7999000,SMARTPHONE XIAOMI,img\produk\XIAOMI 15T.webp,MediaTek Dimensity 8400-Ultra  6.83 120Hz eye-care display  Xiaomi Surge Battery 5.500 mAh,
P323,XIAOMI 15T PRO 12/512GB,10299000,SMARTPHONE XIAOMI,img\produk\XIAOMI 15T.webp,MediaTek Dimensity 9400+ 6.83 144Hz eye-care display  Xiaomi Surge Battery 5.500 mAh,
P324,REDMI PAD SE 8.7  4/128GB,1799000,SMARTPHONE XIAOMI,img\produk\REDMI PAD SE 8.7.webp,Helio G85 5MP+8MP  8.7 IPS LCD FHD 90HZ  6650 Mah 18W,
P325,REDMI PAD 2 4/128GB,2299000,SMARTPHONE XIAOMI,img\produk\redmi pad 2.webp,Helio G100 ultra 5MP+8MP 11.0 IPS 90HZ  9000Mah 18W,
P326,REDMI PAD 2,2899000,SMARTPHONE XIAOMI,img\produk\redmi pad 2.webp,Helio G100 ultra 5MP+8MP 11.0 IPS 90HZ  9000Mah 18W,
P327,REDMI PAD 2 PRO  8/256GB,4499000,SMARTPHONE XIAOMI,img\produk\redmipad 2 pro.webp,Snapdragon 7s Gen2 8+8  12.1 IPS 2.5K 120HZ   10000Mah 33W,4449000
P328,XIAOMI PAD 7  8/256GB,5499000,SMARTPHONE XIAOMI,img\produk\xiaomipad 7.webp,Snapdragon 7s+ Gen3 8+13w/4k  11.2 IPS LCD 2K 144HZ   8850Mah   45W,5449000
P329,XIAOMI PAD 7 PRO  12/512GB,7499000,SMARTPHONE XIAOMI,img\produk\xiaomipad 7 pro.webp,Snapdragon 8s  Gen3   32+50w+2d/4k    11.2 IPS LCD 2K 144HZ   8850 Mah   67W,7449000
P330,XIAOMI SMART TV 32 A PRO 2025,1999000,XIAOMI SMART TV,img\produk\XIAMI SMART TV 32A.jpg,,
P331,XIAOMI SMART TV 32 A PRO 2026,2199000,XIAOMI SMART TV,img\produk\32A 2026.webp,,
P332,XIAOMI SMART TV 43 FHD A 2025,2999000,XIAOMI SMART TV,img\produk\XIAOMI SMART TV 43 FHD A 2025.webp,,
P333,XIAOMI SMART TV 43A PRO 2026 QLED,3549000,XIAOMI SMART TV,img\produk\XIAOMI SMART TV 43A PRO 2026 QLED.webp,,
P334,XIAOMI SMART TV 55A PRO 2026 QLED,5449000,XIAOMI SMART TV,img\produk\XIAOMI SMART TV 43A PRO 2026 QLED.webp,,
P335,XIAOMI SMART TV 65A PRO 2026 QLED,7449000,XIAOMI SMART TV,img\produk\XIAOMI SMART TV 43A PRO 2026 QLED.webp,,
P336,XIAOMI SMART TV 100MAX QLED,29798000,XIAOMI SMART TV,img\produk\XIAOMI SMART TV 100MAX QLED.webp,,
P337,HUAWEI MATEPAD SE 6/128GB,2699000,HUAWEI,img\produk\HUAWEI MATEPAD SE.png,,
P338,HUAWEI MATEPAD 11.5  6/128,4299000,HUAWEI,img\produk\HUAWEI MATEPAD 11.5 6 128GB.png,,4249000
P339,HUAWEI MATEPAD 11.5  8/256GB,5979000,HUAWEI,img\produk\HUAWEI MATEPAD 11.5 6 128GB.png,,5929000
P340,HUAWEI MATEPAD 12X 2026 OTW,9299000,HUAWEI,img\produk\HUAWEI MATEPAD 12X 2026 OTW.png,,9199000
P341,TECNO GO 3 4/64GB,1459000,TECNO,img\produk\TECNO GO3.webp,"Unisoc T7250   4GB 4GB RAM  *    128GB 4GB RAM   120Hz 6.75'' Dot Notch Screen   5000mAh    Kamera  Front: 8MP       Rear: 13MP, Rear Dual Flash",
P342,TECNO GO 3 4/128GB,1659000,TECNO,img\produk\TECNO GO3.webp,"Unisoc T7250   4GB 4GB RAM  *    128GB 4GB RAM   120Hz 6.75'' Dot Notch Screen   5000mAh    Kamera  Front: 8MP       Rear: 13MP, Rear Dual Flash",
P343,TECNO SPARK 40 6/128GB,2099000,TECNO,img\produk\TECNO SPARK 40.webp,,
P344,TECNO SPARK 40 8/256GB,2299000,TECNO,img\produk\TECNO SPARK 40.webp,,
P345,TECNO SPARK 40 PRO+ 8/128GB,2749000,TECNO,img\produk\TECNO SPARK 40 PRO+.webp,,
P346,TECNO SPARK 40 PRO+ 8/256GB,2949000,TECNO,img\produk\TECNO SPARK 40 PRO+.webp,,
P347,TECNO CAMON 40 8/128GB,2899000,TECNO,img\produk\CAMON 40.webp,,
P348,TECNO CAMON 40 8/256GB,3149000,TECNO,img\produk\CAMON 40.webp,,
P349,TECNO CAMON 40 PRO 5G 8/256GB,4499000,TECNO,img\produk\TECNO CAMON 40 PRO 5G.webp,,
P350,TECNO CAMON 40 PRO 5G 12/256GB,4299000,TECNO,img\produk\TECNO CAMON 40 PRO 5G.webp,,
P351,TECNO POVA7 4G 8/128GB,2699000,TECNO,img\produk\TECNO POVA7 4G.webp,,
P352,TECNO POVA7 4G 8/256GB,2899000,TECNO,img\produk\TECNO POVA7 4G.webp,,
P353,TECNO POVA7 5G 8/128GB,3099000,TECNO,img\produk\TECNO POVA7 5G.webp,,
P354,TECNO POVA7 5G 8/256GB,3299000,TECNO,img\produk\TECNO POVA7 5G.webp,,
P355,TECNO POVA7 CURVE 5G 8/256GB,3179000,TECNO,img\produk\TECNO POVA7 CURVE 5G.webp,,
P356,TECNO POVA7 ULTRA 5G 12/256GB,5299000,TECNO,img\produk\TECNO POVA7 ULTRA 5G.webp,,
P357,TECNO MEGAPAD SE 4/128GB,2429000,TECNO,img\produk\TECNO MEGAPAD SE.jfif,,
P358,TECNO MEGAPAD 11 8/128GB,2779000,TECNO,img\produk\TECNO MEGAPAD 11.webp,,
P359,TECNO MEGAPAD 11 8/256GB,2969000,TECNO,img\produk\TECNO MEGAPAD 11.webp,,
P360,INFINIX SMART10 4/64GB,1349000,INFINIX,img\produk\INFINIX SMART 10.webp,,
P361,INFINIX SMART10 4/128GB,1449000,INFINIX,img\produk\SMART 10 1.webp,,
P362,INFINIX HOT 60i 8/256GB,2199000,INFINIX,img\produk\HOT 6I.webp,,
P363,INFINIX HOT 60 PRO 8/256GB,2599000,INFINIX,img\produk\HOT 60 PRO +.webp,,2499000
P364,INFINIX HOT 60 PRO+ 8/128GB,2699000,INFINIX,img\produk\HOT 60 PRO +.webp,,2649000
P365,INFINIX HOT 60 PRO+ 8/256GB,2899000,INFINIX,img\produk\HOT 60 PRO +.webp,,2799000
P366,INFINIX NOTE 50 8/256GB,2779000,INFINIX,img\produk\NOTE 50 INFINIX.webp,,
P367,INFINIX NOTE 50 PRO 4G 8/256GB,3199000,INFINIX,img\produk\NOTE 50 PRO.webp,,
P368,INFINIX GT 30 8/256GB,3499000,INFINIX,img\produk\GT30.webp,,3429000
P369,INFINIX GT 30 PRO 8/256GB,4099000,INFINIX,img\produk\GT30 PRO.webp,,3999000
P370,INFINIX GT 30 PRO 12/256GB,4699000,INFINIX,img\produk\GT30 PRO.webp,,
P371,INFINIX GT 30 PRO 8/256GB GAMING SPESIAL EDITION,4299000,INFINIX,img\produk\GT30 PRO GAMING EDITION.webp,,
